month_key,year,month,tag_id,question_count,answered_count,unanswered_rate,mom_delta,mom_growth
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-04,2017,4,-9125629845961598163,1,1,0.0,-4,-0.8
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-05,2017,5,-9125629845961598163,6,5,0.16666666666666666,5,5.0
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
2017-06,2017,6,-9125629845961598163,5,4,0.2,-1,-0.16666666666666666
